feature,importance
nights_lag_1,0.2869674609106467
arrivals_lag_1,0.17886141091669563
nights_lag_12,0.17820464893683882
arrivals_lag_12,0.16642542007702435
month_cos,0.12029878051001305
time_index,0.04646989590869959
month_sin,0.022772382740082028
