strategic_role,markets,foreign_nights,germany_foreign_nights_share_pct,absolute_growth_nights,median_growth_pct,median_los
Core Retention Market,2,16034701.0,18.910487698483628,425461.0,1.907665804431522,2.5462758153340848
Monitor / Maintain,4,14477008.0,17.073426046101456,367721.0,2.756137064997412,2.0360681527125273
Core Growth Market,2,12497860.0,14.739322410026269,1218722.0,10.815253173068626,2.2318907164178667
Stay Extension Opportunity,3,11538397.0,13.607781930496888,528556.0,4.836640330707334,2.045902440832532
Emerging Growth Market,2,3946395.0,4.65417185520686,379928.0,12.799503050273426,2.466476326921482
Long-Stay Niche,2,2844353.0,3.3544811603686906,70367.0,2.5279394225101317,2.8419263442915663
Growth Market - Shorter Stay,1,1824786.0,2.15205716685114,526494.0,40.55281862631827,2.1673432737966567
