benchmark,benchmark_los,germany_los,gap_nights
EU Mean,2.9851385731839444,2.2176069121796185,-0.7675316610043259
EU Median,2.437227346352867,2.2176069121796185,-0.2196204341732484
EU Weighted,3.17028719820858,2.2176069121796185,-0.9526802860289614
