benchmark,gap_2021,gap_2025,gap_change,interpretation
EU Mean,-0.8644284402601148,-0.852790368668928,0.011638071591186794,Gap Narrowed
EU Median,-0.14812384982620141,-0.2593452440309836,-0.11122139420478216,Gap Widened
EU Weighted,-1.3053492815356518,-1.0734200438932926,0.23192923764235918,Gap Narrowed
