threshold_nights,markets_included,median_nights,median_growth_pct,median_los
750000,18,3048004.0,4.132770041895155,2.2224368030527035
1000000,16,3274578.5,4.132770041895155,2.219865449804548
1500000,12,3923708.5,4.7212374371434835,2.1923386788604136
