month,arrivals_2025,arrivals_2026,arrivals_change,arrivals_growth_pct,nights_2025,nights_2026,nights_change,nights_growth_pct,los_2025,los_2026,los_change,los_change_pct
1,1869061.0,1938956.0,69895.0,3.739578323018885,4242218.0,4277203.0,34985.0,0.8246865201175423,2.2697054831276238,2.2059309236516973,-0.06377455947592647,-2.809816513640615
2,2180842.0,2271693.0,90851.0,4.16586804546134,4949805.0,5078278.0,128473.0,2.595516389029467,2.269676115922199,2.235459632969772,-0.034216482952427185,-1.5075491481974987
3,2294956.0,2341823.0,46867.0,2.0421742290484,5220357.0,5197078.0,-23279.0,-0.4459273570753878,2.274708970455207,2.2192445799703906,-0.05546439048481622,-2.4383071067643822
4,2898714.0,2934984.0,36270.0,1.2512445173963351,6556296.0,6596278.0,39982.0,0.6098260359202818,2.2617947131038107,2.24746642571135,-0.014328287392460837,-0.6334919482059646
5,3329016.0,3353419.0,24403.0,0.7330394326731983,7484744.0,7446648.0,-38096.0,-0.5089820039269212,2.2483352438077797,2.2206136483392025,-0.02772159546857722,-1.2329831836656147
6,3447435.0,3505228.0,57793.0,1.67640579155227,7530964.0,7653746.0,122782.0,1.6303623281162944,2.1845122533129704,2.183523011912492,-0.0009892414004784023,-0.0452843145639557
