benchmark,benchmark_los,illustrative_nights,additional_nights_vs_actual,additional_nights_pct
Germany Actual,2.265983203170065,84792636.0,0.0,0.0
EU27 Median,2.4900830133821747,93178405.85407528,8385769.854075283,9.88973836604783
France,2.577033496751597,96432075.4647119,11639439.464711905,13.726946128566993
Netherlands,2.894230085624174,108301508.06380938,23508872.06380938,27.72513413052683
Austria,3.298723591408753,123437573.74707367,38644937.747073665,45.575818337660436
Weighted EU27,3.340360326487283,124995612.00472851,40202976.00472851,47.413287168862766
