model,MAE,RMSE,MAPE_pct,R2
seasonal_naive,266833.7,391343.8746716669,3.7987529590197107,0.9505648296841909
random_forest,560922.2467014823,724000.9041468923,9.109899161257234,0.8308012420661367
linear_regression,706392.5058239907,779041.6798409566,11.118962311735073,0.8040973364429223
