date,year,month,projected_foreign_nights,projection_method
2026-07-01,2026,7,10358796.0,Seasonal Naive
2026-08-01,2026,8,9689151.0,Seasonal Naive
2026-09-01,2026,9,7674317.0,Seasonal Naive
2026-10-01,2026,10,7195093.0,Seasonal Naive
2026-11-01,2026,11,5590732.0,Seasonal Naive
2026-12-01,2026,12,6582972.0,Seasonal Naive
