year,observations,MAE,RMSE,MAPE_pct
2024,12.0,367850.5833333333,473492.20483014995,5.208040107068019
2025,12.0,266933.9166666667,394521.4371037608,3.7457053754976704
2026,6.0,64599.5,77885.02087372128,1.0862738299671715
