benchmark,los_h1_2025,los_h1_2026,change_pct
Germany,2.2462128645999533,2.2176069121796185,-1.2735192141030471
EU Mean,2.963381524160466,2.9851385731839444,0.7341966886846185
EU Median,2.447008804148608,2.437227346352867,-0.39973120567273757
EU Weighted,3.171747949281499,3.17028719820858,-0.04605508055108842
