year,travel_receipts_mio_eur,travel_expenditure_mio_eur,travel_balance_mio_eur,receipts_cover_expenditure_pct,receipts_growth_pct,expenditure_growth_pct,is_provisional,data_status
2021,18827.0,43126.0,-24300.0,43.655799285813664,,,False,Final
2022,30257.0,85019.0,-54762.0,35.588515508298144,60.71068146810432,97.1409358623568,False,Final
2023,34992.0,106642.0,-71650.0,32.81258791095441,15.649271243018138,25.43313847492914,False,Final
2024,37055.0,106822.0,-69767.0,34.68854730299002,5.895633287608604,0.1687890324637564,False,Final
2025,37772.0,114594.0,-76822.0,32.96158612143743,1.9349615436513368,7.275654827657219,True,Provisional
