country_code,country,period,foreign_nights,status,year,month
DE,Germany,2021-01,692238.0,,2021,1
DE,Germany,2021-02,771308.0,,2021,2
DE,Germany,2021-03,930822.0,,2021,3
DE,Germany,2021-04,878134.0,,2021,4
DE,Germany,2021-05,1029929.0,,2021,5
DE,Germany,2021-06,1837486.0,,2021,6
DE,Germany,2021-07,4500507.0,,2021,7
DE,Germany,2021-08,5009685.0,,2021,8
DE,Germany,2021-09,4365165.0,,2021,9
DE,Germany,2021-10,4697357.0,,2021,10
DE,Germany,2021-11,3488718.0,,2021,11
DE,Germany,2021-12,2530151.0,,2021,12
DE,Germany,2022-01,1912992.0,,2022,1
DE,Germany,2022-02,2542987.0,,2022,2
DE,Germany,2022-03,3296966.0,,2022,3
DE,Germany,2022-04,4886184.0,,2022,4
DE,Germany,2022-05,6027813.0,,2022,5
DE,Germany,2022-06,6453198.0,,2022,6
DE,Germany,2022-07,9321163.0,,2022,7
DE,Germany,2022-08,8904626.0,,2022,8
DE,Germany,2022-09,7077816.0,,2022,9
DE,Germany,2022-10,6724628.0,,2022,10
DE,Germany,2022-11,5031534.0,,2022,11
DE,Germany,2022-12,5436395.0,,2022,12
DE,Germany,2023-01,3916585.0,,2023,1
DE,Germany,2023-02,4775172.0,,2023,2
DE,Germany,2023-03,5085489.0,,2023,3
DE,Germany,2023-04,6307555.0,,2023,4
DE,Germany,2023-05,7184273.0,,2023,5
DE,Germany,2023-06,7507103.0,,2023,6
DE,Germany,2023-07,10137961.0,,2023,7
DE,Germany,2023-08,9480375.0,,2023,8
DE,Germany,2023-09,7647853.0,,2023,9
DE,Germany,2023-10,6903009.0,,2023,10
DE,Germany,2023-11,5413690.0,,2023,11
DE,Germany,2023-12,6019364.0,,2023,12
DE,Germany,2024-01,4364278.0,,2024,1
DE,Germany,2024-02,5025740.0,,2024,2
DE,Germany,2024-03,5479515.0,,2024,3
DE,Germany,2024-04,6334532.0,,2024,4
DE,Germany,2024-05,7412549.0,,2024,5
DE,Germany,2024-06,8707934.0,,2024,6
DE,Germany,2024-07,10588926.0,,2024,7
DE,Germany,2024-08,10087476.0,,2024,8
DE,Germany,2024-09,7837030.0,,2024,9
DE,Germany,2024-10,6961927.0,,2024,10
DE,Germany,2024-11,5625640.0,,2024,11
DE,Germany,2024-12,6367089.0,,2024,12
DE,Germany,2025-01,4242218.0,,2025,1
DE,Germany,2025-02,4949805.0,,2025,2
DE,Germany,2025-03,5220357.0,,2025,3
DE,Germany,2025-04,6556296.0,,2025,4
DE,Germany,2025-05,7484744.0,,2025,5
DE,Germany,2025-06,7530964.0,,2025,6
DE,Germany,2025-07,10358796.0,,2025,7
DE,Germany,2025-08,9689151.0,,2025,8
DE,Germany,2025-09,7674317.0,,2025,9
DE,Germany,2025-10,7195093.0,,2025,10
DE,Germany,2025-11,5590732.0,,2025,11
DE,Germany,2025-12,6582972.0,,2025,12
DE,Germany,2026-01,4277203.0,,2026,1
DE,Germany,2026-02,5078278.0,,2026,2
DE,Germany,2026-03,5197078.0,,2026,3
DE,Germany,2026-04,6596278.0,,2026,4
DE,Germany,2026-05,7446648.0,,2026,5
DE,Germany,2026-06,7653746.0,,2026,6
DE,Germany,2026-07,,,2026,7
